,logFC,logCPM,F,PValue,FDR
ENSG00000198848,-1.2219565418692422,5.438325597159474,66.95380853841036,1.3471721829185007e-11,5.015625665635033e-11
ENSG00000175063,1.3190479221620812,5.688678820170484,66.25741526776073,1.6044330772122155e-11,5.950541067974807e-11
ENSG00000010327,-1.1965575473059529,5.028047558539544,65.84224303884974,1.7814230035921614e-11,6.581746059073329e-11
ENSG00000130755,-0.31554987467750323,8.910478293885397,64.28552123120201,2.6454247548045783e-11,9.736772481562098e-11
ENSG00000155659,-0.49512690222750183,9.46252162429909,64.12244667698059,2.758083893043193e-11,1.0112974274491707e-10
ENSG00000162747,-0.9600319933000184,3.2453202391955305,64.45287536590708,3.440573017317833e-11,1.256782898401382e-10
ENSG00000027075,-0.45303869393980584,7.496873338262624,62.595026525158794,4.086968479794256e-11,1.4872877776093384e-10
ENSG00000172183,-0.8570711835857082,4.316396723644981,62.07970471411517,4.671947890415092e-11,1.6937998344276438e-10
ENSG00000137804,0.9102852911759832,5.705350896291301,61.77940584310027,5.0520199103027435e-11,1.8247594302884538e-10
ENSG00000026508,0.2860955453294556,10.626660409089899,60.97701383002159,6.232060882231472e-11,2.242615217100396e-10
ENSG00000102970,-1.5685669291187785,5.326070503872622,60.935399659159636,6.300515799164e-11,2.2588515902187971e-10
ENSG00000165272,-1.067178145890293,7.078763708751011,60.08232645631495,7.88845100384543e-11,2.8177197681632387e-10
ENSG00000172757,0.19989833287151815,11.304277315988868,59.493272683786785,9.221399137571948e-11,3.275172677499943e-10
ENSG00000138061,0.8476815338937023,5.647028759842389,59.48699257745387,9.236798976833517e-11,3.275172677499943e-10
ENSG00000175445,0.6205713037483191,9.63756017191179,58.68176354720851,1.1448575298678032e-10,4.044606163912531e-10
ENSG00000119535,-0.4443490249996678,6.078666982644041,58.505915192531596,1.200036507854793e-10,4.2241285076488716e-10
ENSG00000170345,-0.4446123723306772,11.069013797015149,58.260805817426416,1.2815613852601067e-10,4.494751525115157e-10
ENSG00000182985,0.8666950716170171,5.218634298477355,58.16560823894967,1.3147455537796334e-10,4.594489877468177e-10
ENSG00000170315,-0.44255051509826876,9.041661276216614,58.05809165417282,1.353291447910493e-10,4.712180293443731e-10
ENSG00000133639,-0.6018699926627892,8.083544491548166,57.91664231739465,1.4057850258573788e-10,4.864957541220959e-10
ENSG00000124145,0.3150169571346407,7.6789750389295595,57.912854839702725,1.4072191234936658e-10,4.864957541220959e-10
ENSG00000164825,-1.1268666346361882,6.445926985713475,57.67386235244457,1.5008323252126093e-10,5.170127013543793e-10
ENSG00000262406,1.998821479075497,5.397813369352995,57.301271996729355,1.8084293980925774e-10,6.207658359409983e-10
ENSG00000185201,-0.4252237505112607,7.291008853556818,56.71975573856028,1.9433842165235706e-10,6.647335411995818e-10
ENSG00000069667,-0.5642680423470414,3.72875460994006,56.27015619333925,2.196633927291958e-10,7.487118456403576e-10
ENSG00000109099,-0.5009244141321256,7.884664343394709,55.48072084583518,2.7268573421692956e-10,9.261747042876765e-10
ENSG00000184292,1.0662446060957609,3.5733223459789447,55.74967222082065,2.7512653805250096e-10,9.311975134084647e-10
ENSG00000166523,-0.6258823249552246,5.900424300826964,55.31204106985951,2.856337788504408e-10,9.616827893854647e-10
ENSG00000034510,0.19482905165341094,13.52383186769824,55.30585509451111,2.861204993212953e-10,9.616827893854647e-10
ENSG00000100219,-0.3239335364738853,7.676232402985328,55.06783307066875,3.055129253465078e-10,1.0233097291883029e-09
ENSG00000164111,0.22990034634145742,10.499230504640396,54.70856002854162,3.3738768555521095e-10,1.126176826267049e-09
ENSG00000166147,-1.2174098338717063,2.843235198003109,54.66966003307147,3.4103882616919356e-10,1.1344521777724377e-09
ENSG00000105374,-0.7456355348248811,4.272608646765091,53.45545069372923,4.780907537461384e-10,1.5849035946104862e-09
ENSG00000187608,-0.49749284618511597,8.142990228103269,53.40179157289117,4.853215105221099e-10,1.6033830108716805e-09
ENSG00000118503,-0.46045188543711946,8.562957647772906,52.83417040638249,5.690878363778926e-10,1.8737313796387754e-09
ENSG00000196569,-0.6852990791917464,4.79506159583026,52.369187262130794,7.567319261716099e-10,2.4831067950309093e-09
ENSG00000140968,-0.31640632033022353,7.494445666191691,51.251144966831866,8.909799496031361e-10,2.9137452405940394e-09
ENSG00000085063,0.3457879679618327,8.662579072804247,51.23323267665593,8.955432594669154e-10,2.918807660484761e-09
ENSG00000089157,0.217339741341993,10.612556160551394,51.12556219418878,9.234858532703161e-10,2.999779550220356e-09
ENSG00000125347,-0.3809493463492377,6.610928065681362,51.086419083678386,9.338657787946024e-10,3.0233514176360374e-09
ENSG00000198763,-0.2082580269553942,13.241028888328152,50.92490518503481,9.77984773739605e-10,3.1556308699331255e-09
ENSG00000115457,-1.142151805554894,6.520734212004577,50.81606369597788,1.0089234278975042e-09,3.2373404011500938e-09
ENSG00000143878,-0.3371731361475903,9.704791485448313,50.8123500052677,1.0099966954001326e-09,3.2373404011500938e-09
ENSG00000110195,-0.8892207773927184,3.4920449115912406,50.60351692193913,1.0722849622670327e-09,3.4256496484306526e-09
ENSG00000183019,-0.8571927126614443,9.25021096882734,50.511010671045746,1.1011300971758388e-09,3.5062300462704343e-09
ENSG00000124575,0.9395417679008553,3.44218608603601,50.38473130988984,1.1418036923172654e-09,3.6149798263533202e-09
ENSG00000121933,-0.955839760484891,4.006185813998325,50.38184307621587,1.1427518872563182e-09,3.6149798263533202e-09
ENSG00000171863,0.2020338097641006,10.81909236368052,50.225955362913226,1.195152939827947e-09,3.7684301164607585e-09
ENSG00000163739,-0.9383287493543293,5.341124893763026,50.177500174190236,1.2119409816392181e-09,3.808957370866114e-09
ENSG00000180879,0.1969482812368535,9.042556701894817,50.09538330825518,1.2409491058661325e-09,3.887503995075781e-09
ENSG00000134028,1.0486971634367463,4.36170409589118,50.073791999851174,1.3415047793750007e-09,4.1889568594677445e-09
ENSG00000251230,-0.6062941703877647,7.385381750526274,49.16311008439548,1.6252289293036293e-09,5.058590365163708e-09
ENSG00000164120,0.48834270387409695,8.330017535319218,49.04043576069333,1.6842449645002508e-09,5.225477966782829e-09
ENSG00000160888,-0.41327557413270777,7.532905050990426,48.67987722361232,1.8708343891403647e-09,5.785839260983621e-09
ENSG00000163106,-0.9064552162565905,5.053559364166572,48.53045182393894,1.9542937913609007e-09,6.024701879099847e-09
ENSG00000182162,-0.67885879843532,3.7701185483226753,48.4287760507279,2.0132708254185073e-09,6.186813203190842e-09
ENSG00000135048,-0.5948208311238209,6.596525745895331,48.19379183818573,2.1567025128478993e-09,6.606607697584704e-09
ENSG00000130522,-0.29857878313099,8.975827884560204,48.178090263867205,2.1666544629967308e-09,6.6161562150815e-09
