,logFC,logCPM,F,PValue,FDR
ENSG00000188229,1.71158450274483,7.5899445708016815,718.3004701787161,1.0324443564449542e-34,5.145920029228272e-33
ENSG00000184357,5.1570447586693575,2.3902742743825462,690.3132772568646,6.933651225916134e-34,3.2830838554712896e-32
ENSG00000123975,2.8624599468894876,8.011761444610945,645.4889562686973,1.8833454118491812e-33,8.492990976291308e-32
ENSG00000251562,-1.0932645855063725,14.97506216915671,638.8383399119962,2.4920468957610065e-33,1.072712913766215e-31
ENSG00000011600,-0.7881315001518853,12.134134446773833,397.6123555921692,6.882523392946216e-28,2.8338041970087245e-26
ENSG00000187514,0.8842254424540591,12.277159211180392,390.36710051863497,1.1041869555130023e-27,4.356937695295055e-26
ENSG00000231721,-1.0784944895976587,10.120916641325167,387.1431636442862,1.3660375252867964e-27,5.174550145786386e-26
ENSG00000126264,-1.0526364670799224,8.649323026070435,352.8958731752333,1.448015739878208e-26,5.274118867941011e-25
ENSG00000140678,-1.2819836911875253,8.656025040069238,351.2173758350104,1.6338041413046096e-26,5.730416747464687e-25
ENSG00000137285,1.4872312468211355,4.915086828955929,382.73790289574066,1.973635700384778e-26,6.675117886658516e-25
ENSG00000179914,2.195239744062589,3.1338393874998345,301.3697339779775,7.533033652112044e-25,2.4599251270862435e-23
ENSG00000102265,-1.5089414308291282,9.850419297449971,297.64013946670786,1.0247163404895179e-24,3.2346879148119115e-23
ENSG00000142669,-0.6604640377695444,11.337108599618478,271.9055826757634,9.393169376473434e-24,2.8694617417807556e-22
ENSG00000163072,2.427391345878278,2.3675537992169726,259.2368251198094,7.308337437282618e-23,2.1628111103458246e-21
ENSG00000070081,0.9635653413706816,7.152660620060764,248.4361748643245,8.284360432484861e-23,2.377360402897928e-21
ENSG00000178878,1.5009422045325083,5.641250007463287,234.31159862402743,3.3333252668246452e-22,9.284291257890997e-21
ENSG00000072274,-0.85865054127466,10.44811163483161,225.7116091594471,8.044824575385584e-22,2.1766996779686136e-20
ENSG00000245532,-0.6956147277205406,11.949197950159645,212.60333793747995,3.2485979034995704e-21,8.545617262816926e-20
ENSG00000018280,-0.6076078668568733,9.981412825369011,209.24107327469827,4.698121771221801e-21,1.2024652209046068e-19
ENSG00000104894,-0.7989548162937072,8.4155262557468,200.21548977415185,1.294905598684388e-20,3.1710672010837464e-19
ENSG00000260314,-0.8275904829465447,10.261036498880776,200.14131932265425,1.3059305263174879e-20,3.1710672010837464e-19
ENSG00000025708,-1.0740131817731684,8.390487204171624,197.28080654636614,1.8144148532429907e-20,4.2956271650527806e-19
ENSG00000198814,-0.872576953501489,9.735409159094282,192.9858063576498,2.9937390262413824e-20,6.91480697036729e-19
ENSG00000051108,-0.8342101243569746,8.058044750800457,191.62057054719054,3.5166145081034456e-20,7.929128426604674e-19
ENSG00000171223,-0.876950483705659,9.852314731454996,182.0794434440634,1.1109093086920693e-19,2.4465839891427666e-18
ENSG00000197956,-0.4135314023635444,13.143208769316175,180.29858038671554,1.3839559696145049e-19,2.978650689147582e-18
ENSG00000143226,-0.8106782411187139,8.12076750668705,177.13926091537485,2.0521861832517094e-19,4.3187118123097086e-18
ENSG00000010278,-0.7682364683069135,10.206175675691966,176.38123826422702,2.2574117921886914e-19,4.6473238417449796e-18
ENSG00000187837,1.4943631432404674,5.504348887692172,173.3890469961068,3.2986016265009056e-19,6.646331362332676e-18
ENSG00000130066,-0.5006076207346162,11.958922296695846,171.34867323476698,4.284317228632845e-19,8.452600865656885e-18
ENSG00000176788,-1.0101059066029499,7.9789652484623925,170.888539711407,4.545997445074894e-19,8.785835878542703e-18
